Month Number,ConsolidatedCIFSC,total_net_assets,total_gross_sales,total_redemptions,normalized_value,Ticker,Close,CloseNormalized,PercentMonthlyChange
82,U.S./North American Equity,216540945420.0,3421478750.0,2987581995.56,2.526931856499886,SPY,372.7716369628906,2.2508325006714274,0.08571721888857582
83,U.S./North American Equity,226110465340.0,3322688230.0,3347046190.0,2.63860369154409,SPY,393.49456787109375,2.375959634209206,0.055591490482056416
84,U.S./North American Equity,214315313900.0,3920498420.0,3603718350.0,2.500959774509526,SPY,369.1231689453125,2.2288026851561376,-0.06193579509276774
85,U.S./North American Equity,223504512610.0,3103123880.0,3617900420.0,2.608193438382973,SPY,394.137939453125,2.3798443762959236,0.06776808559399469
86,U.S./North American Equity,222638896910.0,3243577501.0,3512728420.0,2.5980921068145992,SPY,384.228271484375,2.3200088080197205,-0.025142639103710444
88,U.S./North American Equity,228403717760.0,2060983640.0,3188129460.0,2.6653648779047283,SPY,404.8402099609375,2.4444657581323312,0.019852201505661124
89,U.S./North American Equity,227403933470.0,2175596070.0,3454373090.0,2.6536978614560423,SPY,406.7090759277344,2.4557501581251446,0.004616305200951258
91,U.S./North American Equity,240951761400.0,2580867630.0,3651356280.0,2.81179469582746,SPY,447.2392883300781,2.7004756422783105,0.036569446250044386
92,U.S./North American Equity,241211782620.0,2933778280.0,3706959730.0,2.814829022212752,SPY,439.97076416015625,2.6565875649372637,-0.016251980448903344
93,U.S./North American Equity,229653967910.0,3028166890.0,3551115560.0,2.6799547141433253,SPY,417.6278991699219,2.5216791070731808,-0.050782612869479715
94,U.S./North American Equity,226556559800.0,2844007520.0,3387298880.0,2.643809405871215,SPY,410.0028991699219,2.4756385929464897,-0.018257879837902273
95,U.S./North American Equity,242881407840.0,3970649710.0,3336076150.0,2.8343127699568584,SPY,447.4541015625,2.7017727061028243,0.09134375017445139
96,U.S./North American Equity,249124488300.0,5490402000.0,4425483070.0,2.9071666076754816,SPY,465.99346923828125,2.813715266021083,0.04143300421438128
99,U.S./North American Equity,291017008905.22986,6285256446.219999,3594049316.450001,3.396032787977361,SPY,514.8965454101562,3.108996940687293,0.02950335449416671
100,U.S./North American Equity,285123900448.41003,5807371321.86,3295656574.74,3.327262960338235,SPY,495.6713562011719,2.9929133216230897,-0.03733796503464589
101,U.S./North American Equity,297189632694.9098,5859313940.48,4614290380.89,3.468064429208437,SPY,520.7421875,3.1442935134370673,0.050579544258863615
104,U.S./North American Equity,318530781651.1602,5811883413.319997,3275669575.38,3.717105685804325,SPY,558.3915405273438,3.371624079983453,0.02336561555103619
105,U.S./North American Equity,326349386120.71,4570019427.27,3344818404.429999,3.808345154022021,SPY,568.3770141601562,3.431917370456004,0.01788256609937579
35,Balanced - Tactical,27864489100.0,258447240.0,409943250.0,1.069017002727355,SWAN,21.054719924926758,1.0,
36,Balanced - Tactical,26754539400.0,209163200.0,425898680.0,1.026433946665791,SWAN,20.242691040039062,0.9614324537308933,-0.03856754626910669
38,Balanced - Tactical,27925637620.0,417649730.0,472759430.0,1.0713629566523313,SWAN,21.257673263549805,1.0096393273976905,0.009869776041031448
40,Balanced - Tactical,29136325280.0,371358030.0,401019390.0,1.1178108096485735,SWAN,22.44129180908203,1.0658556318535355,0.025998913805173482
41,Balanced - Tactical,29951664140.0,380086580.0,409677480.0,1.1490911644110924,SWAN,21.965410232543945,1.0432534990189548,-0.02120562312484595
44,Balanced - Tactical,31756990260.0,365548150.0,325592600.0,1.2183522339688977,SWAN,23.930578231811523,1.1365897203638424,0.028087700983469
